Ratio_TA,Ratio_LP,Biomass_TA,Biomass_LP,Gardener
54,12,34,1.15,3
54,12,47,1.56,4
54,12,50,1.57,5
54,18,44,1.35,1
54,18,45,1.48,2
54,18,43,1.14,3
54,18,39,1.36,4
54,18,44,1.98,5
54,24,43,1.5,1
54,24,35,1.97,2
54,24,30,1.05,3
54,24,38,NA,4
54,24,24,0.73,5
54,30,38,1.27,1
54,30,37,1.5,2
54,30,38,1.21,3
54,30,38,1.94,4
54,30,40,1.49,5
54,36,48,1.17,1
54,36,35,1.38,2
54,36,46,1.34,3
54,36,33,0.76,4
54,36,35,0.5,5
54,42,34,1.61,1
54,42,40,0.59,2
54,42,42,0.65,3
54,42,44,0.99,4
54,42,49,1.63,5
54,48,36,1.24,1
54,48,41,1.86,2
54,48,30,1.57,3
54,48,44,1.26,4
54,48,41,1.37,5
54,54,32,1.42,1
54,54,40,1.52,2
54,54,19.5,1.96,3
54,54,31,1.82,4
54,54,45,0.98,5
54,60,40,2.27,1
54,60,35,2.8,2
54,60,36,0.3,3
54,60,25,0.3,4
54,60,43,1.84,5
60,0,36.99,NA,1
60,0,46.27,NA,2
60,0,42.98,NA,3
60,0,69.48,NA,4
60,0,34.66,NA,5
60,1,41.86,2.2,1
60,1,41.06,1.31,2
60,1,36.02,0.69,3
60,1,37.29,1.17,4
60,1,32.71,1.16,5
60,6,56,1.71,1
60,6,47.29,2,2
60,6,34.87,0.91,3
60,6,36.07,1.17,4
60,6,28.92,0.78,5
60,12,37.37,1.45,1
60,12,31.53,1.51,2
60,12,30.96,1.22,3
60,12,39.46,0.97,4
60,12,26.02,1.09,5
60,18,36.26,1,1
60,18,40.75,1.36,2
60,18,43.53,2.03,3
60,18,42.81,2.87,4
60,18,39.06,2.3,5
60,24,32.7,0.56,1
60,24,27.42,1.23,2
60,24,39.17,1.27,3
60,24,41.64,0.91,4
60,24,39.82,1.34,5
60,30,39.31,1.46,1
60,30,45,0.76,2
60,30,42.92,0.83,3
60,30,31.76,1.69,4
60,30,34.44,1.72,5
60,36,46.27,0.96,1
60,36,40.54,0.97,2
60,36,37.27,0.92,3
60,36,28.59,0.87,4
60,36,31.88,1.66,5
60,42,47.44,1.77,1
60,42,38.74,2.2,2
60,42,33.39,1.56,3
60,42,45.89,1.02,4
60,42,40.34,2.45,5
60,48,28.09,1.96,1
60,48,38.89,NA,2
60,48,28.86,1.37,3
60,48,44.5,1.41,4
60,48,37.57,1.65,5
60,54,54.57,0.97,1
60,54,28.67,1.89,2
60,54,40.14,1.98,3
60,54,28.78,1.22,4
60,54,54.35,2.79,5
60,60,44,1.66,1
60,60,36,1.1,2
60,60,18,1.44,3
60,60,23,1.62,4
60,60,47,1.89,5
